1,19,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,2,1,3.0,0.0,2.0,0.0,1.0,0.0,1.5,0.0,1.2,2.5,0.6,1.25,0.0,0.0,0.0,0.0,1.5,0.0,-3.0,-3.0,-1.5,-1.5,3.7,1.85,30.705882352941178,37.88235294117647,16.441176470588236,18.294117647058822
2,1,7,1,6.0,3.0,4.0,3.0,2.0,1.5,3.0,1.5,3.3,1.8,1.65,0.9,1.0,1.0,0.5,0.5,1.5,1.0,2.0,0.0,1.0,0.0,5.1,2.55,33.26470588235294,32.85294117647059,16.41176470588235,12.235294117647058
2,6,5,0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.5,0.8,0.75,0.4,1.0,1.0,0.5,0.5,1.0,1.0,-4.0,-2.0,-2.0,-1.0,2.3,1.15,29.61764705882353,34.64705882352941,9.352941176470589,19.323529411764707
2,15,20,1,6.0,0.0,6.0,2.0,3.0,1.0,3.0,0.0,4.1,1.1,2.05,0.55,1.0,2.0,0.5,1.0,1.0,0.0,5.0,-4.0,2.5,-2.0,5.199999999999999,2.5999999999999996,52.970588235294116,28.941176470588236,22.941176470588236,14.941176470588236
2,8,18,0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.8,3.6999999999999997,1.4,1.8499999999999999,1.0,0.0,0.5,0.0,2.0,1.0,1.0,4.0,0.5,2.0,6.5,3.25,29.823529411764707,42.11764705882353,15.470588235294118,15.441176470588236
2,3,17,0,1.0,4.0,2.0,6.0,1.0,3.0,0.5,2.0,2.2,5.0,1.1,2.5,2.0,1.0,1.0,0.5,0.5,0.6666666666666666,-1.0,5.0,-0.5,2.5,7.2,3.6,37.44117647058823,76.52941176470588,15.058823529411764,23.852941176470587
2,12,19,1,6.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,5.1,1.5,2.55,0.75,0.0,0.0,0.0,0.0,1.0,0.0,6.0,-3.0,3.0,-1.5,6.6,3.3,53.8235294117647,33.05882352941177,24.61764705882353,13.205882352941176
2,11,16,2,3.0,3.0,1.0,3.0,0.5,1.5,1.5,1.5,2.1,2.1,1.05,1.05,0.0,0.0,0.0,0.0,3.0,1.0,-2.0,-1.0,-1.0,-0.5,4.2,2.1,36.970588235294116,32.38235294117647,15.558823529411764,16.794117647058822
3,13,7,0,4.0,4.0,4.0,5.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6,4.0,0.8666666666666667,1.3333333333333333,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.0,0.3333333333333333,0.0,6.6,2.1999999999999997,26.147058823529413,32.85294117647059,11.735294117647058,12.235294117647058
3,20,3,1,3.0,1.0,4.0,2.0,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,3.8000000000000003,3.3000000000000003,1.2666666666666668,1.1,2.0,2.0,0.6666666666666666,0.6666666666666666,0.75,0.5,-2.0,-3.0,-0.6666666666666666,-1.0,7.1000000000000005,2.3666666666666667,28.941176470588236,37.44117647058823,14.941176470588236,15.058823529411764
3,15,8,1,9.0,4.0,11.0,4.0,3.6666666666666665,1.3333333333333333,3.0,1.3333333333333333,5.5,4.5,1.8333333333333333,1.5,2.0,2.0,0.6666666666666666,0.6666666666666666,0.8181818181818182,1.0,8.0,-2.0,2.6666666666666665,-0.6666666666666666,10.0,3.3333333333333335,52.970588235294116,29.823529411764707,22.941176470588236,15.470588235294118
3,19,6,1,3.0,1.0,2.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,4.0,2.5,1.3333333333333333,0.8333333333333334,0.0,1.0,0.0,0.3333333333333333,1.5,1.0,-1.0,-6.0,-0.3333333333333333,-2.0,6.5,2.1666666666666665,33.05882352941177,29.61764705882353,13.205882352941176,9.352941176470589
3,16,2,1,6.0,0.0,4.0,0.0,1.3333333333333333,0.0,2.0,0.0,3.3,3.2,1.0999999999999999,1.0666666666666667,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-4.0,0.0,-1.3333333333333333,6.5,2.1666666666666665,32.38235294117647,37.88235294117647,16.794117647058822,18.294117647058822
3,18,12,1,7.0,6.0,7.0,7.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,7.4,6.1,2.466666666666667,2.033333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.8571428571428571,6.0,4.0,2.0,1.3333333333333333,13.5,4.5,42.11764705882353,53.8235294117647,15.441176470588236,24.61764705882353
3,5,21,2,1.0,6.0,1.0,3.0,0.3333333333333333,1.0,0.3333333333333333,2.0,1.4,2.8,0.4666666666666666,0.9333333333333332,1.0,0.0,0.3333333333333333,0.0,1.0,2.0,-3.0,-2.0,-1.0,-0.6666666666666666,4.199999999999999,1.3999999999999997,34.64705882352941,30.705882352941178,19.323529411764707,16.441176470588236
