Round,Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
Clausura 2023 Regular Season,15,Thu,2023-04-13,22:05 (05:05),Atlético,0.9,2–0,1.4,FC Juárez,10832,Estadio Alfonso Lastras Ramírez,Luis Santander,Match Report,
Clausura 2023 Regular Season,15,Sat,2023-04-15,18:00 (01:00),Atlas,2.5,4–1,2.1,Pachuca,16307,Estadio Jalisco,Edgar Morales,Match Report,
Clausura 2023 Regular Season,15,Fri,2023-04-14,20:05 (03:05),Necaxa,0.8,1–1,1.7,Puebla,11161,Estadio Victoria de Aguascalientes,Adonai Escobedo,Match Report,
Clausura 2023 Regular Season,15,Fri,2023-04-14,21:05 (05:05),Mazatlán,0.7,1–2,3.2,Tijuana,10139,Estadio de Mazatlán,César Arturo Ramos,Match Report,
Clausura 2023 Regular Season,15,Sun,2023-04-16,13:00 (20:00),UNAM,1.7,3–1,1.4,Toluca,20899,Estadio Olímpico de Universitario,Diego Montaño,Match Report,
Clausura 2023 Regular Season,15,Sun,2023-04-16,18:00 (01:00),Querétaro,1.1,0–0,0.5,UANL,17988,Estadio La Corregidora,Óscar Macias,Match Report,
Clausura 2023 Regular Season,15,Sat,2023-04-15,20:05 (03:05),León,1.5,0–2,1.7,Guadalajara,24737,Estadio León,Victor Caceres,Match Report,
Clausura 2023 Regular Season,15,Sat,2023-04-15,22:10 (05:10),Cruz Azul,0.9,1–3,1.5,América,66364,Estadio Azteca,Fernando Guerrero,Match Report,
Clausura 2023 Regular Season,15,Sun,2023-04-16,20:10 (03:10),Monterrey,1.2,1–2,2.0,Santos,45166,Estadio BBVA Bancomer,Marco Ortíz,Match Report,
Clausura 2023 Regular Season,16,Thu,2023-04-20,21:05 (04:05),UANL,3.0,1–0,0.4,Puebla,32737,Estadio Universitario de Nuevo León,Erick Miranda,Match Report,
Clausura 2023 Regular Season,16,Sat,2023-04-22,18:00 (01:00),Pachuca,2.5,2–1,0.7,Atlético,12929,Estadio Hidalgo,Daniel Quintero,Match Report,
Clausura 2023 Regular Season,16,Fri,2023-04-21,19:00 (03:00),Mazatlán,1.3,0–2,2.9,Monterrey,11440,Estadio de Mazatlán,Luis Santander,Match Report,
Clausura 2023 Regular Season,16,Fri,2023-04-21,20:05 (03:05),Necaxa,0.9,1–3,2.0,Atlas,15327,Estadio Victoria de Aguascalientes,Victor Caceres,Match Report,
Clausura 2023 Regular Season,16,Fri,2023-04-21,20:15 (05:15),Tijuana,1.1,0–0,1.0,León,25333,Estadio Caliente,Edgar Morales,Match Report,
Clausura 2023 Regular Season,16,Sun,2023-04-23,13:00 (20:00),Toluca,3.0,1–1,1.3,FC Juárez,27011,Estadio Nemesio Díez,Fernando Guerrero,Match Report,
Clausura 2023 Regular Season,16,Sat,2023-04-22,20:05 (03:05),Guadalajara,1.0,2–1,0.7,Cruz Azul,33456,Estadio Akron,Adonai Escobedo,Match Report,
Clausura 2023 Regular Season,16,Sat,2023-04-22,22:10 (05:10),América,1.4,1–1,1.0,UNAM,60332,Estadio Azteca,César Arturo Ramos,Match Report,
Clausura 2023 Regular Season,16,Sun,2023-04-23,20:05 (03:05),Santos,0.9,0–2,0.4,Querétaro,17195,Estadio Nuevo Corona,Jorge Camacho,Match Report,
Clausura 2023 Regular Season,17,Sat,2023-04-29,18:00 (01:00),Puebla,2.0,5–2,0.8,Tijuana,15001,Estadio Cuauhtémoc,Diego Montaño,Match Report,
Clausura 2023 Regular Season,17,Fri,2023-04-28,21:05 (05:05),FC Juárez,1.7,0–1,1.5,América,19314,Estadio Olímpico Benito Juárez,Daniel Quintero,Match Report,
Clausura 2023 Regular Season,17,Sun,2023-04-30,13:00 (20:00),Toluca,3.4,3–0,0.7,Necaxa,27273,Estadio Nemesio Díez,César Arturo Ramos,Match Report,
Clausura 2023 Regular Season,17,Sun,2023-04-30,18:00 (01:00),Querétaro,0.4,0–1,2.1,Pachuca,17590,Estadio La Corregidora,Victor Caceres,Match Report,
Clausura 2023 Regular Season,17,Sat,2023-04-29,20:00 (03:00),Atlético,2.2,0–0,0.9,Atlas,19003,Estadio Alfonso Lastras Ramírez,Marco Ortíz,Match Report,
Clausura 2023 Regular Season,17,Sat,2023-04-29,20:05 (03:05),Guadalajara,0.9,4–1,0.8,Mazatlán,34823,Estadio Akron,Oscar Mejia,Match Report,
Clausura 2023 Regular Season,17,Sat,2023-04-29,20:05 (03:05),Monterrey,3.1,4–1,1.0,UNAM,45915,Estadio BBVA Bancomer,Óscar Macias,Match Report,
Clausura 2023 Regular Season,17,Sat,2023-04-29,22:05 (05:05),Cruz Azul,1.4,3–2,2.0,Santos,21298,Estadio Azteca,Luis Santander,Match Report,
Clausura 2023 Regular Season,17,Sun,2023-04-30,20:05 (03:05),León,0.8,3–0,0.5,UANL,24163,Estadio León,Fernando Guerrero,Match Report,
