Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2020-10-24,15:30,Bayern Munich,3.1,5–0,0.4,Eint Frankfurt,Allianz Arena,Markus Schmidt,Match Report,
5,Sat,2020-10-24,15:30,RB Leipzig,2.7,2–1,0.8,Hertha BSC,999,Red Bull Arena,Tobias Stieler,Match Report,
5,Sat,2020-10-24,18:30,Dortmund,1.4,3–0,0.2,Schalke 04,300,Signal Iduna Park,Felix Zwayer,Match Report,
5,Sun,2020-10-25,15:30,Wolfsburg,2.2,2–1,0.5,Arminia,4519,Volkswagen Arena,Manuel Gräfe,Match Report,
5,Sun,2020-10-25,18:00,Werder Bremen,0.3,1–1,1.0,Hoffenheim,Weserstadion,Daniel Schlager,Match Report,
5,Mon,2020-10-26,20:30,Leverkusen,2.4,3–1,0.3,Augsburg,BayArena,Sören Storks,Match Report,
6,Fri,2020-10-30,20:30,Schalke 04,0.6,1–1,1.6,Stuttgart,Veltins-Arena,Benjamin Brand,Match Report,
6,Sat,2020-10-31,15:30,Eint Frankfurt,2.0,1–1,0.8,Werder Bremen,Deutsche Bank Park,Felix Brych,Match Report,
6,Sat,2020-10-31,15:30,Augsburg,1.9,3–1,1.0,Mainz 05,WWK Arena,Marco Fritz,Match Report,
6,Sat,2020-10-31,15:30,Köln,0.5,1–2,1.1,Bayern Munich,RheinEnergieSTADION,Frank Willenborg,Match Report,
6,Sat,2020-10-31,15:30,Arminia,0.3,0–2,2.4,Dortmund,SchücoArena,Bastian Dankert,Match Report,
6,Sat,2020-10-31,18:30,M'Gladbach,0.4,1–0,0.8,RB Leipzig,Stadion im Borussia-Park,Daniel Siebert,Match Report,
6,Sun,2020-11-01,15:30,Freiburg,1.2,2–4,1.2,Leverkusen,Schwarzwald-Stadion,Benjamin Cortus,Match Report,
6,Sun,2020-11-01,18:00,Hertha BSC,1.2,1–1,0.6,Wolfsburg,Olympiastadion Berlin,Martin Petersen,Match Report,
6,Mon,2020-11-02,20:30,Hoffenheim,1.3,1–3,3.6,Union Berlin,PreZero Arena,Robert Hartmann,Match Report,
7,Fri,2020-11-06,20:30,Werder Bremen,1.6,1–1,0.4,Köln,Weserstadion,Florian Badstübner,Match Report,
7,Sat,2020-11-07,15:30,Union Berlin,2.0,5–0,0.3,Arminia,Stadion An der Alten Försterei,Matthias Jöllenbeck,Match Report,
7,Sat,2020-11-07,15:30,Augsburg,0.3,0–3,2.2,Hertha BSC,WWK Arena,Frank Willenborg,Match Report,
7,Sat,2020-11-07,15:30,RB Leipzig,2.2,3–0,0.6,Freiburg,Red Bull Arena,Felix Zwayer,Match Report,
7,Sat,2020-11-07,15:30,Stuttgart,2.0,2–2,3.2,Eint Frankfurt,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
7,Sat,2020-11-07,15:30,Mainz 05,3.7,2–2,1.9,Schalke 04,Opel Arena,Patrick Ittrich,Match Report,
7,Sat,2020-11-07,18:30,Dortmund,2.5,2–3,1.2,Bayern Munich,Signal Iduna Park,Manuel Gräfe,Match Report,
7,Sun,2020-11-08,15:30,Wolfsburg,1.9,2–1,2.8,Hoffenheim,Volkswagen Arena,Sven Jablonski,Match Report,
7,Sun,2020-11-08,18:00,Leverkusen,1.3,4–3,2.7,M'Gladbach,BayArena,Harm Osmers,Match Report,
8,Sat,2020-11-21,15:30,M'Gladbach,2.1,1–1,0.8,Augsburg,Stadion im Borussia-Park,Markus Schmidt,Match Report,
8,Sat,2020-11-21,15:30,Hoffenheim,1.7,3–3,1.6,Stuttgart,PreZero Arena,Daniel Siebert,Match Report,
8,Sat,2020-11-21,15:30,Arminia,0.0,1–2,1.2,Leverkusen,SchücoArena,Felix Brych,Match Report,
8,Sat,2020-11-21,15:30,Schalke 04,1.1,0–2,2.5,Wolfsburg,Veltins-Arena,Marco Fritz,Match Report,
8,Sat,2020-11-21,15:30,Bayern Munich,1.7,1–1,1.7,Werder Bremen,Allianz Arena,Guido Winkmann,Match Report,
8,Sat,2020-11-21,18:30,Eint Frankfurt,1.0,1–1,0.8,RB Leipzig,Deutsche Bank Park,Sören Storks,Match Report,
8,Sat,2020-11-21,20:30,Hertha BSC,1.5,2–5,2.8,Dortmund,Olympiastadion Berlin,Bastian Dankert,Match Report,
8,Sun,2020-11-22,15:30,Freiburg,2.0,1–3,2.9,Mainz 05,Schwarzwald-Stadion,Martin Petersen,Match Report,
8,Sun,2020-11-22,18:00,Köln,1.2,1–2,1.8,Union Berlin,RheinEnergieSTADION,Tobias Stieler,Match Report,
9,Fri,2020-11-27,20:30,Wolfsburg,1.5,5–3,1.0,Werder Bremen,Volkswagen Arena,Christian Dingert,Match Report,
9,Sat,2020-11-28,15:30,Stuttgart,1.2,1–3,0.9,Bayern Munich,Mercedes-Benz Arena,Harm Osmers,Match Report,
9,Sat,2020-11-28,15:30,RB Leipzig,2.5,2–1,1.6,Arminia,Red Bull Arena,Robert Hartmann,Match Report,
