Round,Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
Clausura 2022 Regular Season,1,Wed,2022-01-19,21:00 (04:00),León,1.3,1–1,1.3,Atlas,8997,Estadio León,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,1,Wed,2022-01-12,20:06 (03:06),Santos,0.3,1–1,0.7,UANL,9377,Estadio Nuevo Corona,Adonai Escobedo,Match Report,
Clausura 2022 Regular Season,1,Mon,2022-01-10,21:00 (04:00),UNAM,3.5,5–0,0.3,Toluca,8493,Estadio Olímpico Universitario de Colima,Diego Montaño,Match Report,
Clausura 2022 Regular Season,1,Sun,2022-01-09,18:00 (01:00),Guadalajara,2.0,3–0,0.6,Mazatlán,19565,Estadio Akron,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,1,Sat,2022-01-08,21:00 (04:00),Cruz Azul,0.7,2–0,1.3,Tijuana,16271,Estadio Azteca,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,1,Sat,2022-01-08,19:06 (02:06),Monterrey,2.1,0–0,0.7,Querétaro,18926,Estadio BBVA Bancomer,Edgar Morales,Match Report,
Clausura 2022 Regular Season,1,Fri,2022-01-07,21:00 (04:00),Puebla,1.0,1–1,0.7,América,35040,Estadio Cuauhtémoc,Oscar Mejia,Match Report,
Clausura 2022 Regular Season,1,Fri,2022-01-07,18:00 (02:00),FC Juárez,2.4,2–1,0.9,Necaxa,7731,Estadio Olímpico Benito Juárez,Luis Santander,Match Report,
Clausura 2022 Regular Season,1,Thu,2022-01-06,21:00 (04:00),Atlético,0.7,0–2,2.3,Pachuca,6841,Estadio Alfonso Lastras Ramírez,Óscar Macias,Match Report,
Apertura 2021 Regular Season,1,Mon,2021-07-26,20:00 (03:00),Cruz Azul,1.6,0–2,0.8,Mazatlán,9598,Estadio Azteca,Diego Montaño,Match Report,
Apertura 2021 Regular Season,1,Sun,2021-07-25,19:06 (04:06),Tijuana,1.2,1–2,0.7,UANL,4333,Estadio Caliente,Óscar Macias,Match Report,
Apertura 2021 Regular Season,1,Sun,2021-07-25,19:06 (02:06),Monterrey,1.5,1–1,1.2,Puebla,20267,Estadio BBVA Bancomer,Oscar Mejia,Match Report,
Apertura 2021 Regular Season,1,Sat,2021-07-24,21:00 (04:00),Guadalajara,1.7,1–2,0.8,Atlético,11647,Estadio Akron,Eduardo Basulto,Match Report,
Apertura 2021 Regular Season,1,Sun,2021-07-25,12:00 (19:00),UNAM,0.6,0–0,1.3,Atlas,,Estadio Olímpico de Universitario,Luis Santander,Match Report,
Apertura 2021 Regular Season,1,Fri,2021-07-23,20:00 (04:00),FC Juárez,0.4,1–3,2.9,Toluca,7345,Estadio Olímpico Benito Juárez,Jorge Rojas,Match Report,
Apertura 2021 Regular Season,1,Fri,2021-07-23,19:00 (02:00),Necaxa,1.4,0–3,1.7,Santos,9153,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
Apertura 2021 Regular Season,1,Sat,2021-07-24,16:00 (23:00),Pachuca,2.6,4–0,0.7,León,,Estadio Hidalgo,Alejandro Funk,Match Report,
Apertura 2021 Regular Season,1,Thu,2021-07-22,21:00 (04:00),Querétaro,0.4,0–0,1.4,América,10221,Estadio La Corregidora,Marco Ortíz,Match Report,
Clausura 2022 Regular Season,2,Wed,2022-02-16,18:00 (02:00),Mazatlán,1.2,2–1,1.2,América,13934,Estadio de Mazatlán,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,2,Sat,2022-01-15,21:00 (04:00),Cruz Azul,0.7,1–0,0.2,FC Juárez,13801,Estadio Azteca,Guillermo Pacheco Larios,Match Report,
Clausura 2022 Regular Season,2,Sat,2022-01-15,19:06 (04:06),Tijuana,1.2,1–1,0.7,León,8333,Estadio Caliente,Oscar Mejia,Match Report,
