Round,Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
Clausura 2022 Regular Season,2,Sat,2022-01-15,19:00 (02:00),UANL,2.2,0–2,1.4,Puebla,14829,Estadio Universitario de Nuevo León,Luis Santander,Match Report,
Clausura 2022 Regular Season,2,Sun,2022-01-16,17:00 (00:00),Pachuca,0.8,2–1,0.9,Guadalajara,6692,Estadio Hidalgo,Adonai Escobedo,Match Report,
Clausura 2022 Regular Season,2,Sun,2022-01-16,12:00 (19:00),Toluca,2.2,3–1,1.0,Santos,10023,Estadio Nemesio Díez,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,2,Fri,2022-01-14,21:00 (04:00),Necaxa,0.4,0–4,2.0,Monterrey,8921,Estadio Victoria de Aguascalientes,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,2,Fri,2022-01-14,19:00 (02:00),Querétaro,1.2,1–3,0.7,UNAM,13569,Estadio La Corregidora,Erick Miranda,Match Report,
Clausura 2022 Regular Season,2,Sat,2022-01-15,17:00 (00:00),Atlas,0.4,1–0,0.6,Atlético,13353,Estadio Jalisco,Brian Gonzalez,Match Report,
Apertura 2021 Regular Season,2,Mon,2021-08-02,21:00 (04:00),Atlético,2.8,1–1,0.9,Querétaro,6917,Estadio Alfonso Lastras Ramírez,Luis Santander,Match Report,
Apertura 2021 Regular Season,2,Sat,2021-07-31,21:00 (04:00),Atlas,1.0,2–0,0.2,FC Juárez,7859,Estadio Jalisco,Oscar Mejia,Match Report,
Apertura 2021 Regular Season,2,Sat,2021-07-31,21:00 (04:00),Monterrey,1.9,2–0,0.6,UNAM,20943,Estadio BBVA Bancomer,Adonai Escobedo,Match Report,
Apertura 2021 Regular Season,2,Sat,2021-07-31,19:00 (02:00),América,1.2,2–1,1.9,Necaxa,9590,Estadio Azteca,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,2,Sun,2021-08-01,18:00 (01:00),Santos,2.0,1–1,0.2,Cruz Azul,12200,Estadio Nuevo Corona,Jorge Rojas,Match Report,
Apertura 2021 Regular Season,2,Sun,2021-08-01,12:00 (19:00),Toluca,1.8,3–1,0.9,UANL,8540,Estadio Nemesio Díez,Victor Caceres,Match Report,
Apertura 2021 Regular Season,2,Fri,2021-07-30,21:05 (04:05),Puebla,0.9,0–2,0.6,Guadalajara,6800,Estadio Cuauhtémoc,Fernando Guerrero,Match Report,
Apertura 2021 Regular Season,2,Fri,2021-07-30,18:00 (02:00),Mazatlán,2.0,2–1,1.1,Pachuca,4675,Estadio de Mazatlán,Edgar Rangel,Match Report,
Apertura 2021 Regular Season,2,Sat,2021-07-31,17:00 (00:00),León,2.8,2–1,2.1,Tijuana,8863,Estadio León,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,3,Fri,2022-01-28,21:00 (04:00),Puebla,2.8,3–1,0.5,Tijuana,11180,Estadio Cuauhtémoc,Guillermo Pacheco Larios,Match Report,
Clausura 2022 Regular Season,3,Sun,2022-01-23,19:00 (02:00),Santos,0.5,1–4,1.6,Necaxa,9630,Estadio Nuevo Corona,Victor Caceres,Match Report,
Clausura 2022 Regular Season,3,Sat,2022-01-22,21:06 (04:06),Monterrey,1.2,2–2,1.1,Cruz Azul,16508,Estadio BBVA Bancomer,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,3,Sat,2022-01-22,21:00 (04:00),América,0.9,0–2,0.1,Atlas,20825,Estadio Azteca,Marco Ortíz,Match Report,
Clausura 2022 Regular Season,3,Sat,2022-01-22,19:00 (02:00),León,1.3,2–1,0.9,Pachuca,9463,Estadio León,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,3,Sun,2022-01-23,12:00 (19:00),UNAM,1.0,1–2,1.6,UANL,18805,Estadio Olímpico Universitario de Colima,Oscar Mejia,Match Report,
Clausura 2022 Regular Season,3,Fri,2022-01-21,20:00 (04:00),Mazatlán,1.3,1–2,1.1,Toluca,8517,Estadio de Mazatlán,Óscar Macias,Match Report,
Clausura 2022 Regular Season,3,Sat,2022-01-22,17:00 (00:00),Guadalajara,0.7,1–1,0.3,Querétaro,15193,Estadio Akron,Diego Montaño,Match Report,
Clausura 2022 Regular Season,3,Thu,2022-01-20,21:00 (04:00),Atlético,0.6,0–1,2.1,FC Juárez,5397,Estadio Alfonso Lastras Ramírez,Erick Miranda,Match Report,
Apertura 2021 Regular Season,3,Mon,2021-08-09,21:00 (04:00),Pachuca,1.5,0–1,1.4,Atlas,,Estadio Hidalgo,Guillermo Pacheco Larios,Match Report,
Apertura 2021 Regular Season,3,Sat,2021-08-07,21:00 (04:00),UANL,1.0,1–1,1.8,Santos,14350,Estadio Universitario de Nuevo León,Marco Ortíz,Match Report,
Apertura 2021 Regular Season,3,Sat,2021-08-07,19:00 (02:00),América,2.4,2–0,1.1,Puebla,8567,Estadio Azteca,César Arturo Ramos,Match Report,
Apertura 2021 Regular Season,3,Sun,2021-08-08,12:00 (19:00),UNAM,1.2,1–3,1.4,Atlético,,Estadio Olímpico de Universitario,Óscar Macias,Match Report,
Apertura 2021 Regular Season,3,Fri,2021-08-06,21:05 (04:05),Necaxa,1.8,1–2,1.0,Cruz Azul,13187,Estadio Victoria de Aguascalientes,Adonai Escobedo,Match Report,
Apertura 2021 Regular Season,3,Fri,2021-08-06,19:06 (04:06),Tijuana,0.9,0–2,0.8,Toluca,5333,Estadio Caliente,Diego Montaño,Match Report,
Apertura 2021 Regular Season,3,Fri,2021-08-06,18:00 (02:00),Mazatlán,0.7,1–1,1.1,Monterrey,6543,Estadio de Mazatlán,Mario Vargas,Match Report,
Apertura 2021 Regular Season,3,Sat,2021-08-07,17:00 (00:00),Guadalajara,1.8,2–2,1.4,FC Juárez,9208,Estadio Akron,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,3,Thu,2021-08-05,21:00 (04:00),Querétaro,1.1,0–1,1.3,León,10031,Estadio La Corregidora,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,4,Wed,2022-04-06,19:00 (02:00),Toluca,1.3,2–2,1.9,Monterrey,10150,Estadio Nemesio Díez,Eduardo Galván,Match Report,
Clausura 2022 Regular Season,4,Wed,2022-02-09,18:00 (02:00),FC Juárez,1.0,1–3,1.1,Guadalajara,7801,Estadio Olímpico Benito Juárez,Brian Gonzalez,Match Report,
Clausura 2022 Regular Season,4,Mon,2022-02-07,21:05 (04:05),León,1.7,0–1,1.1,Cruz Azul,14097,Estadio León,Victor Caceres,Match Report,
Clausura 2022 Regular Season,4,Sun,2022-02-06,20:00 (03:00),UANL,4.1,4–3,2.4,Mazatlán,10497,Estadio Universitario de Nuevo León,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,4,Sun,2022-02-06,18:00 (01:00),Atlas,1.1,2–1,1.3,Santos,17346,Estadio Jalisco,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,4,Sat,2022-02-05,19:06 (04:06),Tijuana,3.9,1–0,0.9,UNAM,11633,Estadio Caliente,Diego Montaño,Match Report,
Clausura 2022 Regular Season,4,Sat,2022-02-05,19:00 (02:00),América,2.2,2–3,2.9,Atlético,16968,Estadio Azteca,Adonai Escobedo,Match Report,
Clausura 2022 Regular Season,4,Sun,2022-02-06,16:00 (23:00),Querétaro,2.9,0–2,2.8,Puebla,13622,Estadio La Corregidora,Ismael Lopez,Match Report,
Clausura 2022 Regular Season,4,Sat,2022-02-05,17:00 (00:00),Necaxa,2.8,1–3,2.7,Pachuca,9238,Estadio Victoria de Aguascalientes,Marco Ortíz,Match Report,
Apertura 2021 Regular Season,4,Sun,2021-08-15,19:06 (02:06),Santos,0.9,0–0,1.0,Guadalajara,13082,Estadio Nuevo Corona,Luis Santander,Match Report,
Apertura 2021 Regular Season,4,Sat,2021-08-14,21:06 (04:06),Monterrey,1.4,3–1,0.9,Pachuca,15833,Estadio BBVA Bancomer,Óscar Macias,Match Report,
Apertura 2021 Regular Season,4,Sat,2021-08-14,21:00 (04:00),Cruz Azul,1.3,4–0,0.8,Toluca,8588,Estadio Azteca,Fernando Guerrero,Match Report,
Apertura 2021 Regular Season,4,Sat,2021-08-14,19:00 (02:00),León,2.4,3–0,0.5,Mazatlán,9663,Estadio León,Brian Gonzalez,Match Report,
Apertura 2021 Regular Season,4,Sun,2021-08-15,17:00 (00:00),Atlas,0.4,0–1,1.7,América,13637,Estadio Jalisco,Jorge Pérez,Match Report,
Apertura 2021 Regular Season,4,Fri,2021-08-13,20:00 (04:00),FC Juárez,1.9,1–1,0.3,Tijuana,7806,Estadio Olímpico Benito Juárez,Edgar Morales,Match Report,
Apertura 2021 Regular Season,4,Fri,2021-08-13,19:00 (02:00),Puebla,2.0,1–1,2.2,UANL,7654,Estadio Cuauhtémoc,Jorge Rojas,Match Report,
Apertura 2021 Regular Season,4,Sat,2021-08-14,17:00 (00:00),UNAM,1.3,0–0,1.3,Querétaro,,Estadio Olímpico de Universitario,Oscar Mejia,Match Report,
Apertura 2021 Regular Season,4,Thu,2021-08-12,21:00 (04:00),Atlético,1.2,0–2,1.2,Necaxa,4128,Estadio Alfonso Lastras Ramírez,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,5,Tue,2022-03-15,21:06 (04:06),Monterrey,1.9,3–0,0.3,FC Juárez,29052,Estadio BBVA Bancomer,Victor Caceres,Match Report,
Clausura 2022 Regular Season,5,Mon,2022-02-14,21:00 (04:00),Pachuca,0.9,2–2,1.6,Querétaro,5584,Estadio Hidalgo,Jorge Camacho,Match Report,
Clausura 2022 Regular Season,5,Sat,2022-02-12,21:00 (04:00),Santos,0.6,2–3,2.1,América,18774,Estadio Nuevo Corona,Luis Santander,Match Report,
Clausura 2022 Regular Season,5,Sat,2022-02-12,19:00 (02:00),Cruz Azul,1.3,1–2,0.8,Necaxa,26967,Estadio Azteca,Erick Miranda,Match Report,
Clausura 2022 Regular Season,5,Sun,2022-02-13,12:00 (19:00),UNAM,0.8,2–1,1.3,León,15079,Estadio Olímpico Universitario de Colima,Guillermo Pacheco Larios,Match Report,
Clausura 2022 Regular Season,5,Fri,2022-02-11,21:00 (04:00),Puebla,1.5,1–1,1.9,Atlas,23170,Estadio Cuauhtémoc,Victor Caceres,Match Report,
Clausura 2022 Regular Season,5,Fri,2022-02-11,18:00 (02:00),Mazatlán,1.6,2–0,1.2,Tijuana,8221,Estadio de Mazatlán,Fernando Guerrero,Match Report,
Clausura 2022 Regular Season,5,Sat,2022-02-12,17:00 (00:00),Atlético,2.4,0–1,0.3,Toluca,5574,Estadio Alfonso Lastras Ramírez,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,5,Sat,2022-02-12,17:00 (00:00),Guadalajara,0.9,1–3,2.1,UANL,22564,Estadio Akron,Jorge Pérez,Match Report,
Apertura 2021 Regular Season,5,Wed,2021-11-03,19:00 (02:00),Pachuca,2.7,0–0,1.5,Atlético,10683,Estadio Hidalgo,Erick Miranda,Match Report,
Apertura 2021 Regular Season,5,Wed,2021-08-18,21:00 (04:00),Guadalajara,1.1,0–3,1.6,León,10892,Estadio Akron,Adonai Escobedo,Match Report,
Apertura 2021 Regular Season,5,Wed,2021-08-18,20:00 (04:00),FC Juárez,0.8,1–2,2.3,América,13992,Estadio Olímpico Benito Juárez,Luis Santander,Match Report,
Apertura 2021 Regular Season,5,Wed,2021-08-18,19:00 (02:00),Cruz Azul,1.5,1–1,1.2,Monterrey,7720,Estadio Azteca,Jorge Pérez,Match Report,
Apertura 2021 Regular Season,5,Wed,2021-08-18,19:00 (02:00),Santos,0.8,1–1,0.9,Atlas,11998,Estadio Nuevo Corona,Fernando Guerrero,Match Report,
Apertura 2021 Regular Season,5,Tue,2021-08-17,21:00 (04:00),Necaxa,1.4,3–0,0.6,UNAM,9242,Estadio Victoria de Aguascalientes,Eduardo Basulto,Match Report,
Apertura 2021 Regular Season,5,Tue,2021-08-17,19:06 (04:06),Tijuana,1.2,1–1,0.6,Puebla,,Estadio Caliente,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,5,Tue,2021-08-17,19:00 (02:00),UANL,1.1,3–0,0.2,Querétaro,9264,Estadio Universitario de Nuevo León,Diego Montaño,Match Report,
Apertura 2021 Regular Season,5,Tue,2021-08-17,17:00 (00:00),Toluca,1.6,2–2,0.6,Mazatlán,,Estadio Nemesio Díez,Saul Silva,Match Report,
Clausura 2022 Regular Season,6,Sun,2022-02-20,20:05 (03:05),Atlas,0.6,0–0,0.6,UNAM,20436,Estadio Jalisco,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,6,Sun,2022-02-20,18:05 (01:05),Toluca,0.8,1–4,2.3,Cruz Azul,22438,Estadio Nemesio Díez,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,6,Sat,2022-02-19,21:00 (04:00),León,1.2,2–1,1.2,Guadalajara,16204,Estadio León,Fernando Guerrero,Match Report,
Clausura 2022 Regular Season,6,Sat,2022-02-19,19:00 (02:00),UANL,1.3,2–1,0.3,Atlético,20850,Estadio Universitario de Nuevo León,Marco Ortíz,Match Report,
Clausura 2022 Regular Season,6,Sun,2022-02-20,16:00 (23:00),América,1.4,1–3,1.6,Pachuca,27858,Estadio Azteca,Diego Montaño,Match Report,
Clausura 2022 Regular Season,6,Fri,2022-02-18,20:00 (04:00),FC Juárez,0.3,0–0,0.6,Santos,7355,Estadio Olímpico Benito Juárez,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,6,Fri,2022-02-18,19:06 (04:06),Tijuana,1.8,1–1,0.3,Necaxa,10333,Estadio Caliente,Ismael Lopez,Match Report,
Clausura 2022 Regular Season,6,Fri,2022-02-18,19:00 (02:00),Puebla,0.8,1–0,2.1,Monterrey,25934,Estadio Cuauhtémoc,Oscar Mejia,Match Report,
Clausura 2022 Regular Season,6,Sat,2022-02-19,17:00 (00:00),Querétaro,1.4,2–0,0.3,Mazatlán,7458,Estadio La Corregidora,Luis Santander,Match Report,
Apertura 2021 Regular Season,6,Sun,2021-08-22,21:00 (04:00),Querétaro,1.4,0–2,1.4,Pachuca,5190,Estadio La Corregidora,César Arturo Ramos,Match Report,
Apertura 2021 Regular Season,6,Sun,2021-08-22,19:00 (02:00),Necaxa,0.9,1–0,0.4,FC Juárez,8983,Estadio Victoria de Aguascalientes,Daniel Quintero,Match Report,
Apertura 2021 Regular Season,6,Sat,2021-08-21,21:36 (04:36),Monterrey,0.5,0–0,0.5,Guadalajara,15467,Estadio BBVA Bancomer,Diego Montaño,Match Report,
Apertura 2021 Regular Season,6,Sat,2021-08-21,21:00 (04:00),Atlético,1.4,0–0,0.1,Cruz Azul,3909,Estadio Alfonso Lastras Ramírez,Oscar Mejia,Match Report,
Apertura 2021 Regular Season,6,Sat,2021-08-21,19:00 (02:00),León,2.8,1–1,2.0,Santos,9239,Estadio León,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,6,Sun,2021-08-22,17:00 (00:00),América,1.5,2–0,0.2,Tijuana,,Estadio Azteca,Jorge Rojas,Match Report,
Apertura 2021 Regular Season,6,Sun,2021-08-22,12:00 (19:00),UNAM,2.2,2–0,0.9,Puebla,,Estadio Olímpico de Universitario,Brian Gonzalez,Match Report,
Apertura 2021 Regular Season,6,Fri,2021-08-20,20:00 (04:00),Mazatlán,0.6,0–3,1.8,UANL,7733,Estadio de Mazatlán,Eduardo Basulto,Match Report,
Apertura 2021 Regular Season,6,Sat,2021-08-21,17:00 (00:00),Atlas,1.5,0–0,2.4,Toluca,7239,Estadio Jalisco,Marco Ortíz,Match Report,
Clausura 2022 Regular Season,7,Sun,2022-02-27,19:00 (02:00),Cruz Azul,2.6,1–2,1.0,Santos,33924,Estadio Azteca,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,7,Sat,2022-02-26,21:00 (04:00),UNAM,0.4,0–0,0.8,América,42650,Estadio Olímpico Universitario de Colima,Fernando Guerrero,Match Report,
Clausura 2022 Regular Season,7,Sat,2022-02-26,19:00 (02:00),Guadalajara,1.9,2–3,1.5,Puebla,19747,Estadio Akron,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,7,Fri,2022-02-25,20:00 (04:00),FC Juárez,1.0,2–3,2.9,UANL,10113,Estadio Olímpico Benito Juárez,Daniel Quintero,Match Report,
Clausura 2022 Regular Season,7,Fri,2022-02-25,19:06 (04:06),Tijuana,1.0,2–0,0.7,Atlas,14333,Estadio Caliente,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,7,Fri,2022-02-25,19:00 (02:00),Necaxa,1.1,0–1,1.2,León,12781,Estadio Victoria de Aguascalientes,Óscar Macias,Match Report,
Clausura 2022 Regular Season,7,Sat,2022-02-26,17:06 (00:06),Monterrey,1.3,0–2,1.2,Atlético,24507,Estadio BBVA Bancomer,Diego Montaño,Match Report,
Clausura 2022 Regular Season,7,Thu,2022-02-24,21:05 (04:05),Querétaro,0.4,1–1,1.5,Toluca,11524,Estadio La Corregidora,Oscar Mejia,Match Report,
Clausura 2022 Regular Season,7,Thu,2022-02-24,19:00 (02:00),Pachuca,1.3,3–1,0.4,Mazatlán,6875,Estadio Hidalgo,Ismael Lopez,Match Report,
Apertura 2021 Regular Season,7,Sun,2021-08-29,20:00 (03:00),Cruz Azul,1.1,1–1,0.8,Pachuca,14626,Estadio Azteca,Alejandro Funk,Match Report,
Apertura 2021 Regular Season,7,Sat,2021-08-28,21:00 (04:00),León,1.5,1–1,1.0,América,12719,Estadio León,Marco Ortíz,Match Report,
Apertura 2021 Regular Season,7,Sat,2021-08-28,19:00 (02:00),UANL,1.9,1–1,1.0,Atlas,11225,Estadio Universitario de Nuevo León,Luis Santander,Match Report,
Apertura 2021 Regular Season,7,Sun,2021-08-29,18:00 (01:00),Santos,1.4,2–0,0.2,FC Juárez,11691,Estadio Nuevo Corona,Óscar Macias,Match Report,
Apertura 2021 Regular Season,7,Sun,2021-08-29,12:00 (19:00),Toluca,2.5,2–1,1.3,UNAM,9566,Estadio Nemesio Díez,César Arturo Ramos,Match Report,
Apertura 2021 Regular Season,7,Fri,2021-08-27,21:00 (04:00),Puebla,0.8,1–0,1.0,Querétaro,6086,Estadio Cuauhtémoc,Erick Miranda,Match Report,
Apertura 2021 Regular Season,7,Fri,2021-08-27,19:06 (04:06),Tijuana,1.5,2–2,0.9,Monterrey,3333,Estadio Caliente,Fernando Guerrero,Match Report,
Apertura 2021 Regular Season,7,Fri,2021-08-27,18:00 (02:00),Mazatlán,1.2,2–2,2.0,Atlético,5477,Estadio de Mazatlán,Adonai Escobedo,Match Report,
Apertura 2021 Regular Season,7,Sat,2021-08-28,17:00 (00:00),Guadalajara,1.5,2–1,1.3,Necaxa,9603,Estadio Akron,Jorge Rojas,Match Report,
Clausura 2022 Regular Season,8,Wed,2022-03-02,21:00 (04:00),Santos,2.1,3–2,1.3,UNAM,12238,Estadio Nuevo Corona,Óscar Macias,Match Report,
Clausura 2022 Regular Season,8,Wed,2022-03-02,21:00 (04:00),Atlético,1.5,2–2,0.6,Guadalajara,14630,Estadio Alfonso Lastras Ramírez,César Arturo Ramos,Match Report,
Clausura 2022 Regular Season,8,Wed,2022-03-02,19:00 (02:00),UANL,2.8,2–2,1.0,Cruz Azul,36978,Estadio Universitario de Nuevo León,Victor Caceres,Match Report,
Clausura 2022 Regular Season,8,Wed,2022-03-02,19:00 (02:00),Atlas,0.7,0–1,1.7,Pachuca,14421,Estadio Jalisco,Brian Gonzalez,Match Report,
Clausura 2022 Regular Season,8,Tue,2022-03-01,21:00 (04:00),León,1.5,0–0,1.9,Monterrey,10581,Estadio León,Luis Santander,Match Report,
Clausura 2022 Regular Season,8,Tue,2022-03-01,21:00 (04:00),América,0.7,1–1,0.9,Querétaro,17414,Estadio Azteca,Fernando Hernández,Match Report,
Clausura 2022 Regular Season,8,Tue,2022-03-01,20:00 (04:00),Mazatlán,0.6,0–0,0.6,Necaxa,9414,Estadio de Mazatlán,Diego Montaño,Match Report,
Clausura 2022 Regular Season,8,Tue,2022-03-01,19:00 (02:00),Toluca,1.1,1–2,0.7,Tijuana,12523,Estadio Nemesio Díez,Jorge Camacho,Match Report,
Clausura 2022 Regular Season,8,Tue,2022-03-01,19:00 (02:00),Puebla,0.6,1–1,0.5,FC Juárez,26100,Estadio Cuauhtémoc,Ismael Lopez,Match Report,
Apertura 2021 Regular Season,8,Mon,2021-09-13,21:00 (04:00),Pachuca,1.5,1–2,0.6,Toluca,,Estadio Hidalgo,Oscar Mejia,Match Report,
Apertura 2021 Regular Season,8,Sun,2021-09-12,19:00 (02:00),Querétaro,0.4,3–0,1.1,Necaxa,5704,Estadio La Corregidora,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,8,Sat,2021-09-11,21:00 (04:00),América,1.6,2–0,0.0,Mazatlán,14637,Estadio Azteca,Diego Montaño,Match Report,
Apertura 2021 Regular Season,8,Sat,2021-09-11,19:00 (02:00),UANL,0.5,2–2,2.6,León,12962,Estadio Universitario de Nuevo León,Jorge Pérez,Match Report,
Apertura 2021 Regular Season,8,Sun,2021-09-12,17:00 (00:00),UNAM,0.8,0–0,1.9,Guadalajara,,Estadio Olímpico de Universitario,Fernando Guerrero,Match Report,
Apertura 2021 Regular Season,8,Fri,2021-09-10,20:00 (04:00),FC Juárez,0.9,2–1,1.1,Cruz Azul,11623,Estadio Olímpico Benito Juárez,Marco Ortíz,Match Report,
Apertura 2021 Regular Season,8,Fri,2021-09-10,19:06 (04:06),Tijuana,3.1,2–1,0.6,Santos,6333,Estadio Caliente,Luis Santander,Match Report,
Apertura 2021 Regular Season,8,Fri,2021-09-10,19:00 (02:00),Puebla,1.2,2–2,1.2,Atlético,3370,Estadio Cuauhtémoc,Juan Esquivel,Match Report,
Apertura 2021 Regular Season,8,Sat,2021-09-11,17:00 (00:00),Atlas,1.4,2–1,0.5,Monterrey,5568,Estadio Jalisco,Óscar Macias,Match Report,
Clausura 2022 Regular Season,9,Thu,2022-04-07,19:00 (02:00),Pachuca,1.7,2–1,0.6,UANL,10664,Estadio Hidalgo,Ismael Lopez,Match Report,
Clausura 2022 Regular Season,9,Wed,2022-04-06,19:06 (04:06),Tijuana,2.6,1–1,1.2,Atlético,13533,Estadio Caliente,Jesus Lopez,Match Report,
Clausura 2022 Regular Season,9,Sat,2022-03-26,17:00 (00:00),UNAM,1.5,1–1,0.4,Mazatlán,9289,Estadio Olímpico Universitario de Colima,Luis Santander,Match Report,
Clausura 2022 Regular Season,9,Sat,2022-03-05,21:00 (04:00),Cruz Azul,0.7,1–3,1.3,Puebla,29336,Estadio Azteca,Jorge Pérez,Match Report,
Clausura 2022 Regular Season,9,Sat,2022-03-05,21:00 (04:00),Guadalajara,1.0,1–0,0.4,Santos,18522,Estadio Akron,Victor Caceres,Match Report,
Clausura 2022 Regular Season,9,Sat,2022-03-05,19:06 (02:06),Monterrey,1.8,2–1,1.2,América,40327,Estadio BBVA Bancomer,Erick Miranda,Match Report,
Clausura 2022 Regular Season,9,Fri,2022-03-04,20:00 (04:00),FC Juárez,0.4,0–1,0.8,León,9307,Estadio Olímpico Benito Juárez,Oscar Mejia,Match Report,
Clausura 2022 Regular Season,9,Fri,2022-03-04,19:00 (02:00),Necaxa,0.5,0–1,0.9,Toluca,11783,Estadio Victoria de Aguascalientes,Guillermo Pacheco Larios,Match Report,
Clausura 2022 Regular Season,9,Sat,2022-03-05,17:00 (00:00),Querétaro,,0–3,,Atlas,,Estadio La Corregidora,Fernando Guerrero,Match Report,Match awarded to Atlas
Apertura 2021 Regular Season,9,Sun,2021-09-19,21:06 (04:06),Santos,1.2,1–1,0.9,Puebla,11431,Estadio Nuevo Corona,César Arturo Ramos,Match Report,
Apertura 2021 Regular Season,9,Sun,2021-09-19,19:06 (02:06),Monterrey,1.7,2–0,1.2,UANL,26755,Estadio BBVA Bancomer,Fernando Hernández,Match Report,
Apertura 2021 Regular Season,9,Sun,2021-09-19,19:00 (02:00),Cruz Azul,2.1,2–0,0.4,Querétaro,14882,Estadio Azteca,Edgar Morales,Match Report,
