Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
7,Sat,2020-10-31,18:45,Twente,1.4,5–1,1.2,Zwolle,,De Grolsch Veste,Serdar Gözübüyük,Match Report,
7,Sat,2020-10-31,20:00,Ajax,5.5,5–2,1.0,Fortuna Sittard,,Johan Cruyff ArenA,Siemen Mulder,Match Report,
7,Sat,2020-10-31,20:00,Groningen,0.9,2–1,0.7,VVV-Venlo,,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,
7,Sat,2020-10-31,21:00,Willem II,1.0,1–3,1.5,Vitesse,,Koning Willem II Stadion,Marc Nagtegaal,Match Report,
7,Sun,2020-11-01,12:15,Heracles Almelo,2.1,4–1,1.4,Utrecht,,Erve Asito,Dennis Higler,Match Report,
7,Sun,2020-11-01,14:30,Sparta R'dam,1.5,1–4,2.1,Heerenveen,,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
7,Sun,2020-11-01,14:30,Emmen,1.2,2–3,3.1,Feyenoord,,De Oude Meerdijk,Björn Kuipers,Match Report,
7,Sun,2020-11-01,16:45,PSV Eindhoven,3.3,4–0,0.4,ADO Den Haag,,Philips Stadion,Jochem Kamphuis,Match Report,
7,Sun,2020-11-01,20:00,AZ Alkmaar,3.5,3–0,0.4,RKC Waalwijk,,AFAS Stadion,Martin van den Kerkhof,Match Report,
8,Fri,2020-11-06,20:00,Fortuna Sittard,0.7,2–2,0.5,Zwolle,,Fortuna Sittard Stadion,Edwin van de Graaf,Match Report,
8,Sat,2020-11-07,16:30,ADO Den Haag,0.6,2–4,2.2,Twente,,Cars Jeans Stadion,Rob Dieperink,Match Report,
8,Sat,2020-11-07,18:45,VVV-Venlo,3.0,3–2,1.2,Heracles Almelo,,Seacon Stadion De Koel,Richard Martens,Match Report,
8,Sat,2020-11-07,21:00,RKC Waalwijk,0.7,0–2,1.7,Sparta R'dam,,Mandemakers Stadion,Ingmar Oostrom,Match Report,
8,Sun,2020-11-08,12:15,Utrecht,0.9,0–3,2.8,Ajax,,Stadion Galgenwaard,Björn Kuipers,Match Report,
8,Sun,2020-11-08,14:30,Feyenoord,1.9,2–0,0.7,Groningen,,Stadion Feijenoord,Danny Makkelie,Match Report,
8,Sun,2020-11-08,14:30,Vitesse,1.1,3–1,2.4,Emmen,,GelreDome,Jeroen Manschot,Match Report,
8,Sun,2020-11-08,16:45,Heerenveen,0.5,0–3,1.9,AZ Alkmaar,,Abe Lenstra Stadion,Dennis Higler,Match Report,
8,Sun,2020-11-08,20:00,PSV Eindhoven,2.2,3–0,1.0,Willem II,,Philips Stadion,Allard Lindhout,Match Report,
9,Sat,2020-11-21,18:45,Willem II,0.7,2–1,1.8,VVV-Venlo,,Koning Willem II Stadion,Erwin Blank,Match Report,
9,Sat,2020-11-21,20:00,Groningen,0.6,1–1,1.6,Vitesse,,Hitachi Capital Mobility Stadion,Björn Kuipers,Match Report,
9,Sat,2020-11-21,21:00,Zwolle,0.8,1–1,0.4,Utrecht,,MAC³PARK Stadion,Danny Makkelie,Match Report,
9,Sun,2020-11-22,12:15,Ajax,2.3,5–0,0.4,Heracles Almelo,,Johan Cruyff ArenA,Jeroen Manschot,Match Report,
9,Sun,2020-11-22,14:30,Sparta R'dam,3.0,6–0,0.1,ADO Den Haag,,Sparta-Stadion Het Kasteel,Kevin Blom,Match Report,
9,Sun,2020-11-22,14:30,Fortuna Sittard,1.0,1–3,3.2,Feyenoord,,Fortuna Sittard Stadion,Dennis Higler,Match Report,
