Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,clueless
24,Sun,2023-03-12,19:30,Wolfsburg,1.7,1–1,1.3,Union Berlin,23,554,Volkswagen Arena,Robert Schröder,Match Report,
25,Fri,2023-03-17,20:30,M'Gladbach,3.4,2–2,1.3,Werder Bremen,54,042,Stadion im Borussia-Park,Tobias Reichel,Match Report,
25,Sat,2023-03-18,15:30,Augsburg,0.3,1–1,1.8,Schalke 04,30,660,WWK Arena,Daniel Schlager,Match Report,
25,Sat,2023-03-18,15:30,Stuttgart,0.5,0–1,0.6,Wolfsburg,44,900,Mercedes-Benz Arena,Felix Brych,Match Report,
25,Sat,2023-03-18,15:30,Hoffenheim,2.6,3–1,1.0,Hertha BSC,25,027,PreZero Arena,Frank Willenborg,Match Report,
25,Sat,2023-03-18,15:30,Bochum,1.1,1–0,1.8,RB Leipzig,24,400,Vonovia Ruhrstadion,Sascha Stegemann,Match Report,
25,Sat,2023-03-18,18:30,Dortmund,3.3,6–1,1.6,Köln,81,365,Signal Iduna Park,Daniel Siebert,Match Report,
25,Sun,2023-03-19,15:30,Union Berlin,1.3,2–0,2.7,Eint Frankfurt,22,012,Stadion An der Alten Försterei,Christian Dingert,Match Report,
25,Sun,2023-03-19,17:30,Leverkusen,2.0,2–1,1.0,Bayern Munich,30,210,BayArena,Tobias Stieler,Match Report,
25,Sun,2023-03-19,19:30,Mainz 05,1.0,1–1,1.7,Freiburg,26,800,Mewa Arena,Bastian Dankert,Match Report,
26,Fri,2023-03-31,20:30,Eint Frankfurt,3.1,1–1,1.1,Bochum,51,500,Deutsche Bank Park,Harm Osmers,Match Report,
26,Sat,2023-04-01,15:30,Union Berlin,1.9,3–0,2.2,Stuttgart,22,012,Stadion An der Alten Försterei,Florian Badstübner,Match Report,
26,Sat,2023-04-01,15:30,Wolfsburg,3.5,2–2,0.6,Augsburg,22,107,Volkswagen Arena,Martin Petersen,Match Report,
26,Sat,2023-04-01,15:30,Schalke 04,1.1,0–3,2.7,Leverkusen,62,271,Veltins-Arena,Deniz Aytekin,Match Report,
26,Sat,2023-04-01,15:30,RB Leipzig,0.8,0–3,2.9,Mainz 05,45,597,Red Bull Arena,Christian Dingert,Match Report,
26,Sat,2023-04-01,15:30,Freiburg,1.2,1–1,1.8,Hertha BSC,34,700,Europa-Park Stadion,Sven Jablonski,Match Report,
26,Sat,2023-04-01,18:30,Bayern Munich,2.4,4–2,1.5,Dortmund,75,000,Allianz Arena,Marco Fritz,Match Report,
26,Sun,2023-04-02,15:30,Köln,1.0,0–0,1.0,M'Gladbach,50,000,RheinEnergieSTADION,Felix Zwayer,Match Report,
26,Sun,2023-04-02,17:30,Werder Bremen,0.9,1–2,1.1,Hoffenheim,42,000,Wohninvest Weserstadion,Sascha Stegemann,Match Report,
27,Sat,2023-04-08,15:30,Dortmund,2.6,2–1,0.5,Union Berlin,81,365,Signal Iduna Park,Daniel Schlager,Match Report,
27,Sat,2023-04-08,15:30,Freiburg,1.0,0–1,3.5,Bayern Munich,34,700,Europa-Park Stadion,Daniel Siebert,Match Report,
27,Sat,2023-04-08,15:30,Mainz 05,1.9,2–2,0.9,Werder Bremen,33,305,Mewa Arena,Benjamin Brand,Match Report,
27,Sat,2023-04-08,15:30,Leverkusen,2.1,3–1,0.9,Eint Frankfurt,30,210,BayArena,Robert Hartmann,Match Report,
27,Sat,2023-04-08,15:30,Augsburg,0.8,1–3,1.7,Köln,30,660,WWK Arena,Robert Schröder,Match Report,
27,Sat,2023-04-08,18:30,Hertha BSC,0.5,0–1,2.0,RB Leipzig,50,679,Olympiastadion Berlin,Deniz Aytekin,Match Report,
27,Sun,2023-04-09,15:30,M'Gladbach,1.6,2–0,1.5,Wolfsburg,51,127,Stadion im Borussia-Park,Timo Gerach,Match Report,
27,Sun,2023-04-09,17:30,Bochum,2.4,2–3,2.2,Stuttgart,26,000,Vonovia Ruhrstadion,Frank Willenborg,Match Report,
27,Sun,2023-04-09,19:30,Hoffenheim,2.2,2–0,0.7,Schalke 04,30,150,PreZero Arena,Matthias Jöllenbeck,Match Report,
28,Fri,2023-04-14,20:30,Schalke 04,2.2,5–2,1.6,Hertha BSC,61,981,Veltins-Arena,Felix Brych,Match Report,
28,Sat,2023-04-15,15:30,Bayern Munich,1.6,1–1,0.4,Hoffenheim,75,000,Allianz Arena,Bastian Dankert,Match Report,
28,Sat,2023-04-15,15:30,Köln,1.0,1–1,0.8,Mainz 05,50,000,RheinEnergieSTADION,Benjamin Cortus,Match Report,
28,Sat,2023-04-15,15:30,Stuttgart,1.4,3–3,1.8,Dortmund,47,300,Mercedes-Benz Arena,Harm Osmers,Match Report,
28,Sat,2023-04-15,15:30,RB Leipzig,1.8,3–2,0.7,Augsburg,46,058,Red Bull Arena,Marco Fritz,Match Report,
28,Sat,2023-04-15,18:30,Eint Frankfurt,2.2,1–1,1.2,M'Gladbach,50,000,Deutsche Bank Park,Sven Jablonski,Match Report,
28,Sun,2023-04-16,15:30,Werder Bremen,1.7,1–2,0.8,Freiburg,42,100,Wohninvest Weserstadion,Florian Badstübner,Match Report,
28,Sun,2023-04-16,17:30,Union Berlin,1.2,1–1,1.8,Bochum,20,000,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
28,Sun,2023-04-16,19:30,Wolfsburg,0.9,0–0,1.2,Leverkusen,20,137,Volkswagen Arena,Sascha Stegemann,Match Report,
29,Fri,2023-04-21,20:30,Augsburg,0.7,1–1,1.1,Stuttgart,30,660,WWK Arena,Christian Dingert,Match Report,
29,Sat,2023-04-22,15:30,Mainz 05,1.6,3–1,1.9,Bayern Munich,33,305,Mewa Arena,Felix Zwayer,Match Report,
29,Sat,2023-04-22,15:30,Bochum,2.6,1–5,3.6,Wolfsburg,24,834,Vonovia Ruhrstadion,Felix Brych,Match Report,
29,Sat,2023-04-22,15:30,Hertha BSC,1.6,2–4,2.0,Werder Bremen,74,667,Olympiastadion Berlin,Robert Schröder,Match Report,
29,Sat,2023-04-22,15:30,Hoffenheim,0.9,1–3,1.7,Köln,30,150,PreZero Arena,Robin Braun,Match Report,
29,Sat,2023-04-22,18:30,Dortmund,1.1,4–0,0.6,Eint Frankfurt,81,365,Signal Iduna Park,Deniz Aytekin,Match Report,
29,Sun,2023-04-23,15:30,Freiburg,2.1,4–0,0.3,Schalke 04,34,700,Europa-Park Stadion,Robert Hartmann,Match Report,
29,Sun,2023-04-23,17:30,Leverkusen,1.1,2–0,1.9,RB Leipzig,29,085,BayArena,Daniel Schlager,Match Report,
29,Sun,2023-04-23,19:30,M'Gladbach,0.7,0–1,1.3,Union Berlin,52,107,Stadion im Borussia-Park,Martin Petersen,Match Report,
30,Fri,2023-04-28,20:30,Bochum,0.9,1–1,2.7,Dortmund,26,000,Vonovia Ruhrstadion,Sascha Stegemann,Match Report,
30,Sat,2023-04-29,15:30,Köln,1.6,0–1,1.6,Freiburg,50,000,RheinEnergieSTADION,Tobias Reichel,Match Report,
30,Sat,2023-04-29,15:30,Stuttgart,2.3,2–1,1.2,M'Gladbach,47,700,Mercedes-Benz Arena,Tobias Welz,Match Report,
30,Sat,2023-04-29,15:30,RB Leipzig,1.4,1–0,0.3,Hoffenheim,45,294,Red Bull Arena,Tobias Stieler,Match Report,
30,Sat,2023-04-29,15:30,Union Berlin,0.8,0–0,0.8,Leverkusen,22,012,Stadion An der Alten Försterei,Marco Fritz,Match Report,
30,Sat,2023-04-29,15:30,Eint Frankfurt,0.6,1–1,0.7,Augsburg,50,000,Deutsche Bank Park,Frank Willenborg,Match Report,
30,Sat,2023-04-29,18:30,Schalke 04,1.6,2–1,1.2,Werder Bremen,61,981,Veltins-Arena,Bastian Dankert,Match Report,
30,Sun,2023-04-30,15:30,Bayern Munich,2.7,2–0,0.1,Hertha BSC,75,000,Allianz Arena,Patrick Ittrich,Match Report,
30,Sun,2023-04-30,17:30,Wolfsburg,1.9,3–0,1.7,Mainz 05,23,817,Volkswagen Arena,Daniel Siebert,Match Report,
31,Fri,2023-05-05,20:30,Leverkusen,0.9,1–2,0.8,Köln,30,210,BayArena,Felix Zwayer,Match Report,
31,Fri,2023-05-05,20:30,Mainz 05,1.3,2–3,2.9,Schalke 04,33,305,Mewa Arena,Matthias Jöllenbeck,Match Report,
31,Sat,2023-05-06,15:30,Hoffenheim,2.2,3–1,2.2,Eint Frankfurt,30,000,PreZero Arena,Harm Osmers,Match Report,
31,Sat,2023-05-06,15:30,Hertha BSC,1.2,2–1,1.5,Stuttgart,63,443,Olympiastadion Berlin,Deniz Aytekin,Match Report,
31,Sat,2023-05-06,15:30,Freiburg,0.4,0–1,1.9,RB Leipzig,32,900,Europa-Park Stadion,Tobias Welz,Match Report,
31,Sat,2023-05-06,15:30,M'Gladbach,1.9,2–0,1.1,Bochum,53,797,Stadion im Borussia-Park,Robert Schröder,Match Report,
31,Sat,2023-05-06,15:30,Augsburg,0.9,1–0,0.7,Union Berlin,30,660,WWK Arena,Florian Badstübner,Match Report,
31,Sat,2023-05-06,18:30,Werder Bremen,0.7,1–2,1.4,Bayern Munich,42,100,Wohninvest Weserstadion,Christian Dingert,Match Report,
31,Sun,2023-05-07,17:30,Dortmund,4.2,6–0,1.2,Wolfsburg,81,365,Signal Iduna Park,Marco Fritz,Match Report,
32,Fri,2023-05-12,20:30,Köln,4.3,5–2,1.1,Hertha BSC,50,000,RheinEnergieSTADION,Sven Jablonski,Match Report,
32,Sat,2023-05-13,15:30,Eint Frankfurt,2.2,3–0,1.0,Mainz 05,50,000,Deutsche Bank Park,Felix Brych,Match Report,
32,Sat,2023-05-13,15:30,Wolfsburg,1.1,2–1,1.0,Hoffenheim,22,617,Volkswagen Arena,Tobias Stieler,Match Report,
32,Sat,2023-05-13,15:30,Union Berlin,1.5,4–2,2.1,Freiburg,22,012,Stadion An der Alten Försterei,Marco Fritz,Match Report,
32,Sat,2023-05-13,15:30,Bochum,1.2,3–2,1.8,Augsburg,24,453,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
32,Sat,2023-05-13,15:30,Bayern Munich,5.3,6–0,0.4,Schalke 04,75,000,Allianz Arena,Robert Schröder,Match Report,
32,Sat,2023-05-13,18:30,Dortmund,4.5,5–2,2.0,M'Gladbach,81,365,Signal Iduna Park,Daniel Schlager,Match Report,
32,Sun,2023-05-14,15:30,Stuttgart,1.3,1–1,1.8,Leverkusen,47,500,Mercedes-Benz Arena,Frank Willenborg,Match Report,
32,Sun,2023-05-14,17:30,RB Leipzig,2.2,2–1,1.1,Werder Bremen,47,069,Red Bull Arena,Florian Badstübner,Match Report,
33,Fri,2023-05-19,20:30,Freiburg,1.3,2–0,0.7,Wolfsburg,33,300,Europa-Park Stadion,Bastian Dankert,Match Report,
33,Sat,2023-05-20,15:30,Schalke 04,1.0,2–2,1.6,Eint Frankfurt,61,575,Veltins-Arena,Daniel Schlager,Match Report,
33,Sat,2023-05-20,15:30,Werder Bremen,1.8,1–1,1.4,Köln,41,846,Wohninvest Weserstadion,Robert Hartmann,Match Report,
33,Sat,2023-05-20,15:30,Hertha BSC,1.2,1–1,1.1,Bochum,70,692,Olympiastadion Berlin,Felix Brych,Match Report,
33,Sat,2023-05-20,15:30,Hoffenheim,2.4,4–2,2.0,Union Berlin,30,000,PreZero Arena,Christian Dingert,Match Report,
33,Sat,2023-05-20,18:30,Bayern Munich,1.6,1–3,2.8,RB Leipzig,75,000,Allianz Arena,Deniz Aytekin,Match Report,
33,Sun,2023-05-21,15:30,Mainz 05,1.3,1–4,1.8,Stuttgart,33,305,Mewa Arena,Sven Jablonski,Match Report,
33,Sun,2023-05-21,17:30,Augsburg,0.2,0–3,3.1,Dortmund,30,660,WWK Arena,Tobias Welz,Match Report,
33,Sun,2023-05-21,19:30,Leverkusen,1.6,2–2,1.7,M'Gladbach,30,210,BayArena,Daniel Siebert,Match Report,
34,Sat,2023-05-27,15:30,RB Leipzig,2.6,4–2,1.2,Schalke 04,47,069,Red Bull Arena,Harm Osmers,Match Report,
34,Sat,2023-05-27,15:30,Bochum,1.3,3–0,0.8,Leverkusen,26,000,Vonovia Ruhrstadion,Tobias Welz,Match Report,
34,Sat,2023-05-27,15:30,Union Berlin,0.9,1–0,0.4,Werder Bremen,22,012,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,
34,Sat,2023-05-27,15:30,Eint Frankfurt,2.1,2–1,1.6,Freiburg,50,500,Deutsche Bank Park,Deniz Aytekin,Match Report,
34,Sat,2023-05-27,15:30,Dortmund,4.0,2–2,1.8,Mainz 05,81,365,Signal Iduna Park,Marco Fritz,Match Report,
34,Sat,2023-05-27,15:30,M'Gladbach,3.0,2–0,0.5,Augsburg,52,186,Stadion im Borussia-Park,Matthias Jöllenbeck,Match Report,
34,Sat,2023-05-27,15:30,Stuttgart,2.5,1–1,0.8,Hoffenheim,47,500,Mercedes-Benz Arena,Robert Schröder,Match Report,
34,Sat,2023-05-27,15:30,Wolfsburg,3.4,1–2,2.1,Hertha BSC,26,775,Volkswagen Arena,Benjamin Cortus,Match Report,
34,Sat,2023-05-27,15:30,Köln,1.3,1–2,1.3,Bayern Munich,50,000,RheinEnergieSTADION,Sven Jablonski,Match Report,
